"mic";"symbol";"isin";"date";"trading_model_id";"open_price";"high_price";"low_price";"last_price";"vwap_price";"change_prev_close_percentage";"num_trades";"volume";"turnover";"price_currency";"turnover_currency"
"XZAG";"ZABA";"HRZABARA0009";"2023-11-15";"CT";12,50;12,60;12,45;12,55;12,5416212232870;0,00;45;13570,00000;170189,80;"EUR";"EUR"
"XZAG";"ZABA";"HRZABARA0009";"2023-11-14";"CT";12,65;12,65;12,50;12,55;12,5744349702080;-0,40;36;9734,00000;122399,55;"EUR";"EUR"
"XZAG";"ZABA";"HRZABARA0009";"2023-11-13";"CT";12,65;12,65;12,60;12,60;12,6136229749630;-0,40;13;4074,00000;51387,90;"EUR";"EUR"
"XZAG";"ZABA";"HRZABARA0009";"2023-11-10";"CT";12,55;12,65;12,50;12,65;12,5455413297390;0,80;21;4452,00000;55852,75;"EUR";"EUR"
"XZAG";"ZABA";"HRZABARA0009";"2023-11-09";"CT";12,60;12,60;12,55;12,55;12,5725848563970;-0,40;14;2298,00000;28891,80;"EUR";"EUR"
"XZAG";"ZABA";"HRZABARA0009";"2023-11-08";"CT";12,65;12,65;12,60;12,60;12,6281020319930;-0,40;12;2313,00000;29208,80;"EUR";"EUR"
"XZAG";"ZABA";"HRZABARA0009";"2023-11-07";"CT";12,60;12,65;12,60;12,65;12,6238903394260;1,20;4;383,00000;4834,95;"EUR";"EUR"
"XZAG";"ZABA";"HRZABARA0009";"2023-11-06";"CT";12,65;12,65;12,40;12,50;12,4997156605420;-1,19;50;20574,00000;257169,15;"EUR";"EUR"
"XZAG";"ZABA";"HRZABARA0009";"2023-11-03";"CT";12,65;12,65;12,40;12,65;12,5229264123790;0,00;29;11116,00000;139204,85;"EUR";"EUR"
"XZAG";"ZABA";"HRZABARA0009";"2023-11-02";"CT";12,60;12,65;12,55;12,65;12,5936015831130;-0,39;13;3790,00000;47729,75;"EUR";"EUR"
"XZAG";"ZABA";"HRZABARA0009";"2023-10-31";"CT";12,55;12,70;12,55;12,70;12,6440949935820;1,20;14;1558,00000;19699,50;"EUR";"EUR"
"XZAG";"ZABA";"HRZABARA0009";"2023-10-30";"CT";12,60;12,70;12,50;12,55;12,5789045936400;-1,18;16;2830,00000;35598,30;"EUR";"EUR"
"XZAG";"ZABA";"HRZABARA0009";"2023-10-27";"CT";12,45;12,70;12,45;12,70;12,6285923324550;1,60;12;3417,00000;43151,90;"EUR";"EUR"
"XZAG";"ZABA";"HRZABARA0009";"2023-10-26";"CT";12,70;12,70;12,50;12,50;12,6157595134120;0,00;49;12824,00000;161784,50;"EUR";"EUR"
"XZAG";"ZABA";"HRZABARA0009";"2023-10-25";"CT";12,70;12,80;12,50;12,50;12,6753265012810;-0,40;78;16003,00000;202843,25;"EUR";"EUR"
"XZAG";"ZABA";"HRZABARA0009";"2023-10-24";"CT";12,60;12,60;12,55;12,55;12,5720156555770;-1,18;12;5110,00000;64243,00;"EUR";"EUR"
